Date,Price,MarketCap,TotalVolume,Currency
15/08/2023,0.995841387,749554831,27176405,usdd
01/08/2023,1.00923733,572626593,24088492,paxos-standard
02/08/2023,0.998830528,540944224,6775032,paxos-standard
03/08/2023,1.007882807,517046893,3605836,paxos-standard
04/08/2023,0.999861095,516062987,9627514,paxos-standard
05/08/2023,1.00103637,509560315,2010683,paxos-standard
06/08/2023,0.999606585,510508544,3665944,paxos-standard
07/08/2023,1.001006785,510648645,3304633,paxos-standard
08/08/2023,1.000334,515450068,4265273,paxos-standard
09/08/2023,1.000236599,517938449,6657355,paxos-standard
10/08/2023,0.9997572,518801595,12855647,paxos-standard
11/08/2023,0.999781884,507722013,1544045,paxos-standard
12/08/2023,1.000141873,509401745,3300889,paxos-standard
13/08/2023,0.999493998,508170603,2275614,paxos-standard
14/08/2023,0.99968965,508283728,2246954,paxos-standard
15/08/2023,0.999551308,508684737,2813886,paxos-standard
01/08/2023,29537.10975,5.87699E+11,15289922840,Bitcoin
02/08/2023,29146.63627,5.86341E+11,19266318894,Bitcoin
03/08/2023,29176.1506,5.8048E+11,12539132810,Bitcoin
04/08/2023,29087.93809,5.77186E+11,12112869085,Bitcoin
05/08/2023,29046.80046,5.70305E+11,5335308729,Bitcoin
06/08/2023,29044.20438,5.70308E+11,5360283576,Bitcoin
07/08/2023,29178.14775,5.80781E+11,13252185122,Bitcoin
08/08/2023,29779.56167,5.93818E+11,14603570418,Bitcoin
09/08/2023,29585.48808,5.90169E+11,14633310097,Bitcoin
10/08/2023,29423.81892,5.8052E+11,8106253519,Bitcoin
11/08/2023,29396.84797,5.76629E+11,4651950357,Bitcoin
12/08/2023,29412.14227,5.76252E+11,3994297895,Bitcoin
13/08/2023,29284.96971,5.74442E+11,4755220448,Bitcoin
14/08/2023,29400.5868,5.84651E+11,12408355477,Bitcoin
15/08/2023,29389.50873,5.83642E+11,11419289365,Bitcoin
01/08/2023,1869.745109,2.34943E+11,8990773317,Ethereum
02/08/2023,1838.011952,2.29115E+11,8178850227,Ethereum
03/08/2023,1835.701303,2.26677E+11,5908647350,Ethereum
04/08/2023,1828.461194,2.25706E+11,6229669774,Ethereum
05/08/2023,1835.070578,2.23439E+11,2952349825,Ethereum
06/08/2023,1826.706779,2.22527E+11,2992818475,Ethereum
07/08/2023,1826.933486,2.27083E+11,7660232552,Ethereum
08/08/2023,1856.844145,2.30609E+11,7498117030,Ethereum
09/08/2023,1855.890727,2.29003E+11,6010104016,Ethereum
10/08/2023,1850.876989,2.26145E+11,3733537744,Ethereum
11/08/2023,1847.541835,2.25714E+11,3694816570,Ethereum
